담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
지역경제과,군포시 전통시장 및 상점가 육성을 위한 조례,2019-07-09,제2조,실질 검토,전통시장 및 상점가 육성을 위한 특별법,제65조,내용변경,「전통시장 및 상점가 육성을 위한 특별법」 제65조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2019-01-08,2024-02-20
지역경제과,군포시 전통시장 및 상점가 육성을 위한 조례,2019-07-09,제2조,실질 검토,전통시장 및 상점가 육성을 위한 특별법,제67조,내용변경,「전통시장 및 상점가 육성을 위한 특별법」 제67조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2018-06-12,2024-02-20
지역경제과,군포시 전통시장 및 상점가 육성을 위한 조례,2019-07-09,제3조,실질 검토,유통산업발전법,제8조,내용변경,「유통산업발전법」 제8조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2016-01-06,2025-10-01
지역경제과,군포시 전통시장 및 상점가 육성을 위한 조례,2019-07-09,제4조,확인 필요,전통시장 및 상점가 시설현대화사업 운영지침,,법령미해결,「전통시장 및 상점가 시설현대화사업 운영지침」 제명변경·폐지 여부를 확인하고 이 조례 제4조의 인용 법령명을 정정,—,—
지역경제과,군포시 전통시장 및 상점가 육성을 위한 조례,2019-07-09,제19조,실질 검토,전통시장 및 상점가 육성을 위한 특별법,제65조,내용변경,「전통시장 및 상점가 육성을 위한 특별법」 제65조 개정 내용을 반영하여 이 조례 제19조을(를) 검토·정비,2019-01-08,2024-02-20
지역경제과,군포시 전통시장 및 상점가 육성을 위한 조례,2019-07-09,제22조의2,실질 검토,전통시장 및 상점가 육성을 위한 특별법,제65조,내용변경,「전통시장 및 상점가 육성을 위한 특별법」 제65조 개정 내용을 반영하여 이 조례 제22조의2을(를) 검토·정비,2019-01-08,2024-02-20
지역경제과,군포시 전통시장 및 상점가 육성을 위한 조례,2019-07-09,제23조,실질 검토,전통시장 및 상점가 육성을 위한 특별법,제65조,내용변경,「전통시장 및 상점가 육성을 위한 특별법」 제65조 개정 내용을 반영하여 이 조례 제23조을(를) 검토·정비,2019-01-08,2024-02-20
지역경제과,군포시 전통시장 및 상점가 육성을 위한 조례,2019-07-09,제27조,실질 검토,전통시장 및 상점가 육성을 위한 특별법,제67조,내용변경,「전통시장 및 상점가 육성을 위한 특별법」 제67조 개정 내용을 반영하여 이 조례 제27조을(를) 검토·정비,2018-06-12,2024-02-20
지역경제과,군포시 전통시장 및 상점가 육성을 위한 조례,2019-07-09,제29조,실질 검토,전통시장 및 상점가 육성을 위한 특별법,제20조,내용변경,「전통시장 및 상점가 육성을 위한 특별법」 제20조 개정 내용을 반영하여 이 조례 제29조을(를) 검토·정비,2018-08-14,2025-12-16
지역경제과,군포시 전통시장 및 상점가 육성을 위한 조례,2019-07-09,제37조,실질 검토,전통시장 및 상점가 육성을 위한 특별법,제74조,내용변경,「전통시장 및 상점가 육성을 위한 특별법」 제74조 개정 내용을 반영하여 이 조례 제37조을(를) 검토·정비,2017-07-26,2025-12-16
지역경제과,군포시 전통시장 및 상점가 육성을 위한 조례,2019-07-09,제37조,실질 검토,전통시장 및 상점가 육성을 위한 특별법 시행령,제35조,내용변경,「전통시장 및 상점가 육성을 위한 특별법 시행령」 제35조 개정 내용을 반영하여 이 조례 제37조을(를) 검토·정비,2013-11-20,2026-06-16
지역경제과,군포시 동물복지 조례,2025-03-17,제2조,실질 검토,동물보호법 시행규칙,제3조,내용변경,「동물보호법 시행규칙」 제3조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2024-06-18,2025-08-07
지역경제과,군포시 동물복지 조례,2025-03-17,제2조,실질 검토,동물보호법 시행령,제4조,내용변경,「동물보호법 시행령」 제4조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,원제정,2025-06-02
지역경제과,군포시 동물복지 조례,2025-03-17,제5조,실질 검토,동물보호법 시행령,제4조,내용변경,「동물보호법 시행령」 제4조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비,원제정,2025-06-02
지역경제과,군포시 동물복지 조례,2025-03-17,제13조,실질 검토,동물보호법 시행령,제11조,내용변경,「동물보호법 시행령」 제11조 개정 내용을 반영하여 이 조례 제13조을(를) 검토·정비,원제정,2025-06-02
지역경제과,군포시 동물복지 조례,2025-03-17,제16조,실질 검토,동물보호법 시행규칙,제16조,내용변경,「동물보호법 시행규칙」 제16조 개정 내용을 반영하여 이 조례 제16조을(를) 검토·정비,2024-06-18,2025-08-07
지역경제과,군포시 동물복지 조례,2025-03-17,제17조,실질 검토,동물보호법 시행규칙,제21조,내용변경,「동물보호법 시행규칙」 제21조 개정 내용을 반영하여 이 조례 제17조을(를) 검토·정비,2024-06-18,2025-08-07
지역경제과,군포시 동물복지 조례,2025-03-17,제17조,확인 필요,동물보호법 시행규칙,제54조,당시부재,「동물보호법 시행규칙」 제54조 인용 시점을 확인 — 이 조례 제17조 (제정 당시 부재),2024-06-18,2025-08-07
지역경제과,군포시 동물복지 조례,2025-03-17,제25조,실질 검토,동물보호법 시행규칙,제26조,내용변경,「동물보호법 시행규칙」 제26조 개정 내용을 반영하여 이 조례 제25조을(를) 검토·정비,2024-06-18,2025-08-07
지역경제과,군포시 경력보유여성등의 경력 유지 및 경제활동 촉진에 관한 조례,2023-12-12,제9조,실질 검토,여성의 경제활동 촉진과 경력단절 예방법,제5조,내용변경,「여성의 경제활동 촉진과 경력단절 예방법」 제5조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비,원제정,2025-10-01
지역경제과,군포시 경력보유여성등의 경력 유지 및 경제활동 촉진에 관한 조례,2023-12-12,제11조,실질 검토,여성의 경제활동 촉진과 경력단절 예방법,제10조,내용변경,「여성의 경제활동 촉진과 경력단절 예방법」 제10조 개정 내용을 반영하여 이 조례 제11조을(를) 검토·정비,원제정,2025-10-01
지역경제과,군포시 경력보유여성등의 경력 유지 및 경제활동 촉진에 관한 조례,2023-12-12,제11조,실질 검토,여성의 경제활동 촉진과 경력단절 예방법,제13조,내용변경,「여성의 경제활동 촉진과 경력단절 예방법」 제13조 개정 내용을 반영하여 이 조례 제11조을(를) 검토·정비,원제정,2025-10-01
지역경제과,군포시 경력보유여성등의 경력 유지 및 경제활동 촉진에 관한 조례,2023-12-12,제11조,실질 검토,여성의 경제활동 촉진과 경력단절 예방법,제14조,내용변경,「여성의 경제활동 촉진과 경력단절 예방법」 제14조 개정 내용을 반영하여 이 조례 제11조을(를) 검토·정비,원제정,2025-10-01
지역경제과,군포시 경력보유여성등의 경력 유지 및 경제활동 촉진에 관한 조례,2023-12-12,제11조,실질 검토,여성의 경제활동 촉진과 경력단절 예방법,제15조,내용변경,「여성의 경제활동 촉진과 경력단절 예방법」 제15조 개정 내용을 반영하여 이 조례 제11조을(를) 검토·정비,원제정,2025-10-01
지역경제과,군포시 전통상업보존구역 지정 및 대규모ㆍ준대규모점포의 등록제한 등에 관한 조례,2020-03-16,제2조,실질 검토,중소기업기본법,제2조,내용변경,「중소기업기본법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2019-12-10,2024-02-20
지역경제과,군포시 전통상업보존구역 지정 및 대규모ㆍ준대규모점포의 등록제한 등에 관한 조례,2020-03-16,제17조,실질 검토,유통산업발전법,제8조,내용변경,「유통산업발전법」 제8조 개정 내용을 반영하여 이 조례 제17조을(를) 검토·정비,2016-01-06,2025-10-01
지역경제과,군포시 지역화폐 발행 및 운영 조례,2025-07-11,제8조,실질 검토,소상공인기본법 시행령,제3조,내용변경,「소상공인기본법 시행령」 제3조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,원제정,2026-01-27
지역경제과,군포시 지역화폐 발행 및 운영 조례,2025-07-11,제8조의2,실질 검토,사행산업통합감독위원회법,제2조,내용변경,「사행산업통합감독위원회법」 제2조 개정 내용을 반영하여 이 조례 제8조의2을(를) 검토·정비,2012-05-23,2025-12-30
지역경제과,군포시 골목형상점가 활성화 지원에 관한 조례,2025-12-10,제5조,실질 검토,전통시장 및 상점가 육성을 위한 특별법,제2조,내용변경,「전통시장 및 상점가 육성을 위한 특별법」 제2조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비,2020-02-11,2025-12-16
