담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시
감사실,군포시 자체감사 규칙,2022-01-13,제22조,확인 필요,군포시 적극행정 면책 및 공무원 경고 등 처분에 관한 규정,,지자체행정규칙,"「군포시 적극행정 면책 및 공무원 경고 등 처분에 관한 규정」는 지자체 자체 행정규칙 — 국가법령정보에 없어 자동 대조 불가. 자치법규정보시스템(ELIS, www.elis.go.kr)에서 최신 원문을 직접 확인해 이 조례 제22조 인용을 정비"
건설과,군포시 가로등ㆍ보안등ㆍ공원등 설치 및 유지관리에 관한 조례,2024-12-10,제4조,확인 필요,도로안전시설 설치 및 관리지침(조명시설 편),,법령미해결,"「도로안전시설 설치 및 관리지침(조명시설 편)」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제4조 인용 정비"
건설과,군포시 도로관리심의회 설치 조례,2020-09-29,제1조,확인 필요,도로법시행령,제24조의8,미확인,「도로법시행령」 제24조의8 소재를 확인(삭제·이동·오기 여부) — 이 조례 제1조 (덧붙여 「도로법시행령」처럼 꺽쇠 서식으로 정정)
건설과,군포시 도로점용허가 및 점용료 등 부과ㆍ징수조례,2024-03-19,제13조,확인 필요,재해위험 개선사업 및 이주대책에 관한 특별법 시행규칙,제49조,미확인,「재해위험 개선사업 및 이주대책에 관한 특별법 시행규칙」 제49조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제13조
교통행정과,군포시 교통약자의 이동편의 증진에 관한 조례 시행규칙,2026-04-22,"제2조, 제5조",확인 필요,경기도 특별교통수단 광역이동서비스 표준지침,,지자체행정규칙,"「경기도 특별교통수단 광역이동서비스 표준지침」는 지자체 자체 행정규칙 — 국가법령정보에 없어 자동 대조 불가. 자치법규정보시스템(ELIS, www.elis.go.kr)에서 최신 원문을 직접 확인해 이 조례 제2조, 제5조 인용을 정비"
교통행정과,군포시 어린이 보호구역 및 통학로 교통안전 조례,2021-07-01,제2조,확인 필요,영유아교육법,,법령미해결,"「영유아교육법」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제2조 인용 정비"
기업정책과,군포시 에너지 기본 조례,2024-05-15,제2조,확인 필요,저탄소 녹색성장 기본법,,법령미해결,"「저탄소 녹색성장 기본법」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제2조 인용 정비"
기획예산실,군포시 규제 신고고객 보호ㆍ서비스헌장 운영 규칙,2014-09-30,제1조,확인 필요,행정서비스헌장규정,,법령미해결,"「행정서비스헌장규정」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제1조 인용 정비"
기획예산실,군포시 발전협의회 설치 및 운영 조례,2020-09-29,제1조,확인 필요,국가균형발전특별법,,법령미해결,"「국가균형발전특별법」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제1조 인용 정비"
노인장애인과,군포시 장애인 등의 편의시설 사전 점검에 관한 조례,2016-12-12,제2조,확인 필요,장애인ㆍ노인ㆍ임산부 등의 편의증진 보장에 관한 법률 (이하 “법”이라 한다),,법령미해결,"「장애인ㆍ노인ㆍ임산부 등의 편의증진 보장에 관한 법률 (이하 “법”이라 한다)」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제2조 인용 정비"
