담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시
건설과,군포시 보도구역 안 횡단차도 설치에 관한 조례,2018-10-08,제1조,서식 정정,도로법,제31조,서식,"(서식만 정비) ""도로법 제31조""를 ""「도로법」 제31조""로 정정 — 내용 변경은 없음 (이 조례 제1조)"
건설과,군포시 보도구역 안 횡단차도 설치에 관한 조례,2018-10-08,제1조,서식 정정,도로법,제64조,서식,"(서식만 정비) ""도로법 제64조""를 ""「도로법」 제64조""로 정정 — 내용 변경은 없음 (이 조례 제1조)"
교육체육과,군포시 체육꿈나무 육성을 위한 지원 조례,2021-04-26,제4조,서식 정정,지방교육재정교부금법,제11조제5항,서식,"(서식만 정비) ""지방교육재정교부금법 제11조""를 ""「지방교육재정교부금법」 제11조""로 정정 — 내용 변경은 없음 (이 조례 제4조)"
교통행정과,군포시 교통유발부담금 경감 등에 관한 조례,2023-05-01,제2조,서식 정정,자동차관리법,제3조,서식,"(서식만 정비) ""자동차관리법 제3조""를 ""「자동차관리법」 제3조""로 정정 — 내용 변경은 없음 (이 조례 제2조)"
기업정책과,군포시 산업재해 예방 및 노동안전보건 지원 조례,2025-01-07,제7조,서식 정정,산업안전보건법,제77조,서식,"(서식만 정비) ""산업안전보건법 제77조""를 ""「산업안전보건법」 제77조""로 정정 — 내용 변경은 없음 (이 조례 제7조)"
기획예산실,군포시 규제개혁위원회 설치 및 운영 조례,2023-09-27,제1조,서식 정정,행정규제기본법,제3조제3항,서식,"(서식만 정비) ""행정규제기본법 제3조""를 ""「행정규제기본법」 제3조""로 정정 — 내용 변경은 없음 (이 조례 제1조)"
기획예산실,군포시 납세자보호에 관한 사무처리 조례 시행규칙,2025-12-10,제12조,서식 정정,지방세기본법,제139조,서식,"(서식만 정비) ""지방세기본법 제139조""를 ""「지방세기본법」 제139조""로 정정 — 내용 변경은 없음 (이 조례 제12조)"
기획예산실,군포시 납세자보호에 관한 사무처리 조례 시행규칙,2025-12-10,제14조,서식 정정,지방세기본법,제139조,서식,"(서식만 정비) ""지방세기본법 제139조""를 ""「지방세기본법」 제139조""로 정정 — 내용 변경은 없음 (이 조례 제14조)"
도시환경과,군포시 농촌용수구역 관리에 관한 조례,2023-07-04,제6조,서식 정정,지하수법,제27조제1항,서식,"(서식만 정비) ""지하수법 제27조""를 ""「지하수법」 제27조""로 정정 — 내용 변경은 없음 (이 조례 제6조)"
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제16조,서식 정정,지적재조사에 관한 특별법,제16조,서식,"(서식만 정비) 「지적재조사에 관한 특별법」 약칭을 앞말과 띄어 정정 (이 조례 제16조) — 내용 변경은 없음, 띄어쓰기만 정비"
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제16조,서식 정정,지적재조사에 관한 특별법,제17조,서식,"(서식만 정비) 「지적재조사에 관한 특별법」 약칭을 앞말과 띄어 정정 (이 조례 제16조) — 내용 변경은 없음, 띄어쓰기만 정비"
복지정책과,군포시 가두판매대 설치 및 운영 관리조례,2025-07-11,제3조,서식 정정,도로법,제61조,서식,"(서식만 정비) ""도로법 제61조""를 ""「도로법」 제61조""로 정정 — 내용 변경은 없음 (이 조례 제3조)"
복지정책과,군포시 국가보훈대상자 등 예우 및 지원에 관한 조례,2024-10-02,제7조,서식 정정,국민기초생활보장법,제2조,서식,"(서식만 정비) ""국민기초생활보장법 제2조""를 ""「국민기초생활보장법」 제2조""로 정정 — 내용 변경은 없음 (이 조례 제7조)"
복지정책과,군포시 국가보훈대상자 등 예우 및 지원에 관한 조례,2024-10-02,제9조,서식 정정,전자정부법,제36조제1항,서식,"(서식만 정비) ""전자정부법 제36조""를 ""「전자정부법」 제36조""로 정정 — 내용 변경은 없음 (이 조례 제9조)"
