담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시
감사실,군포시 공무원 행동강령 시행규칙,2025-03-17,제13조의3,검토 필요,공공기관의 운영에 관한 법률,제4조제1항,내용변경,「공공기관의 운영에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제13조의3을(를) 검토·정비
감사실,군포시 공직자윤리위원회 구성과 운영에 관한 조례,2023-07-04,제2조,검토 필요,공직자윤리법,제3조제1항,내용변경,「공직자윤리법」 제3조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
감사실,군포시 공직자윤리위원회 구성과 운영에 관한 조례,2023-07-04,제2조,검토 필요,공직자윤리법 시행령,제3조,내용변경,「공직자윤리법 시행령」 제3조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
감사실,군포시 공직자윤리위원회 구성과 운영에 관한 조례,2023-07-04,제6조,검토 필요,공직자윤리법,제8조제7항,내용변경,「공직자윤리법」 제8조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비
감사실,군포시 공직자윤리위원회 구성과 운영에 관한 조례,2023-07-04,제6조,검토 필요,공직자윤리법,제8조의2,내용변경,「공직자윤리법」 제8조의2 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비
감사실,군포시 공직자윤리위원회 구성과 운영에 관한 조례,2023-07-04,제9조,검토 필요,공직자윤리법,제17조제1항,내용변경,「공직자윤리법」 제17조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비
감사실,군포시 시민감사관 구성 및 운영 조례,2019-04-18,제2조,검토 필요,공공기관의 정보공개에 관한 법률,제9조,내용변경,「공공기관의 정보공개에 관한 법률」 제9조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
감사실,군포시 시민감사관 구성 및 운영 조례,2019-04-18,제3조,검토 필요,공공  기관의 운영에 관한 법률,제4조,내용변경,「공공  기관의 운영에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
감사실,군포시 시민감사관 구성 및 운영 조례,2019-04-18,제3조,검토 필요,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
감사실,군포시 시민고충처리위원회(옴부즈만) 구성 및 운영에 관한 조례,2024-10-02,제4조,검토 필요,권익위법,,제명변경,인용한 「권익위법」이(가) 현행 「부패방지 및 국민권익위원회의 설치와 운영에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
